입력 문장,입력 시간
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,25-01-18 19:31:11
보신티정,25-01-18 19:32:04
보신티정 대조약 유통이 안되면 해외에서 구입해 시험해도 되는지?,25-01-18 19:32:30
보노프라잔 대조약 유통이 안되면 해외에서 구입해 시험해도 되는지?,25-01-18 19:32:55
보노프라잔 대조약 국내 유통이 안되면 해외에서 구입해 시험해도 되는지?,25-01-18 19:33:11
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,25-01-18 19:39:45
BCS class1 성분,25-01-18 20:03:02
BCS class1 성분 용해도시험 면제 받기 위해 제제연구소에서 실시한 경우도 인정되는지?,25-01-18 20:03:39
BCS class1 성분 용해도시험 면제 받기 위해 제제연구소에서 실시한 경우도 인정되는지?,25-01-18 20:04:04
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,25-01-18 20:17:42
BCS class1 성분 용해도시험 면제 받기 위해 제제연구소에서 실시한 경우도 인정되는지?,25-01-18 20:17:58
수입의약품 재갱신 관련,25-01-18 20:18:19
"의약품 갱신 신청 관련, '의약품 품목갱신업무 민원인을 위한 가이드라인'에 따르면 유효기간 만료 직전의 실적만을 제출",25-01-18 20:21:45
1개월에 2회이상 프로포폴 투여해도 되는지?,25-01-31 21:05:51
함량고저 비교용출,25-01-31 21:06:42
주사제 이화학적동등성시험자료,25-01-31 21:12:51
주성분 제조원과 규격을 내수용과 수출용으로 별도 관리,25-01-31 21:13:33
내수용과 수출용으로 별도 관리,25-01-31 21:13:48
주성분 규격 내수용과 수출용으로 별도 관리,25-01-31 21:14:24
내용액제의 용해시험,25-01-31 21:15:03
내용액제의 용해시험,25-01-31 21:17:43
주성분 규격 내수용과 수출용으로 별도 관리,25-01-31 21:19:48
함량고저 비교용출,25-01-31 21:20:11
1개월에 2회이상 프로포폴 투여해도 되는지?,25-01-31 21:20:35
내용액제의 용해시험,25-01-31 21:27:08
내용액제의 용해시험,25-01-31 21:27:54
BCS class1 성분 용해도시험 면제 받기 위해 제제연구소에서 실시한 경우도 인정되는지?,25-01-31 21:31:00
두타스테리드,25-01-31 21:31:58
성호르몬제제 시설분리,25-01-31 21:32:14
성호르몬제제 생산시설 분리,25-01-31 21:32:39
성호르몬제제 작업소 분리,25-01-31 21:32:56
의약품 안정성 시험 문의,25-02-01 18:50:07
내용액제의 용해시험,25-02-01 18:51:18
BCS class1 성분 용해도시험 면제 받기 위해 제제연구소에서 실시한 경우도 인정되는지?,25-02-01 18:52:55
의약품 안정성 시험 문의,25-02-01 18:53:11
의약품 갱신 문의,25-02-01 18:54:30
"의약품 갱신 문의, 해외허가 근거 없으면 갱신 여부",25-02-01 19:01:40
해외허가 근거 없으면 갱신 여부,25-02-01 19:01:59
의약품 갱신 문의,25-02-01 19:02:08
해외 허가 근거가 없는 경우 갱신되는지?,25-02-01 19:02:26
해외 허가 근거가 없는 경우 품목허가갱신되는지?,25-02-01 19:02:42
해외허가가 없는 경우 품목허가갱신되는지?,25-02-01 19:02:57
품목허가 갱신 문의,25-02-01 19:03:16
의약품 품목허가 갱신 제품품질평가 자료,25-02-01 19:03:47
Q1,25-02-01 19:07:31
BCS class3 성분,25-02-01 19:07:53
BCS class1 성분 용해도시험 면제 받기 위해 제제연구소에서 실시한 경우도 인정되는지?,25-02-01 19:08:19
BCS class1 성분 용해도시험 면제 제제연구소에서 실시한 경우도 인정되는지?,25-02-01 19:19:53
BCS 성분 용해도시험 면제,25-02-01 19:20:11
BCS  class1성분 용해도시험 면제,25-02-01 19:20:30
BCS  class1성분 용해도시험 면제 GMP시설에서 실시,25-02-01 19:20:45
BCS  class1성분 용해도시험 GMP시설에서 실시,25-02-01 19:21:03
위탁사 실생산 3로트로 금속불순물과 안정성 시험 자료로 인정,25-02-03 21:26:04
위탁사 3배치로 안정성 시험 자료와 금속불순물 자료 ,25-02-03 21:26:36
위탁사 3배치로 금속불순물 자료 ,25-02-03 21:27:21
IND 신청 전 생산 의약품을 임상시험에 사용해도 되는지,25-02-03 21:28:31
난용성 의약품의 비교용출시험을 고시용출액을 다 하지 않고 기준용출액만 해도되는지?,25-02-17 20:49:21
의약품 품목갱신 하지 않아 만료된 품목 유예 기간 있는지?,25-02-17 20:51:31
